epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,867.443,0.9521,3.79912,1.36623,0.56296,0.71497,0.57247,0.42054,0.97212,3.48177,1.54615,9.46475e-05,9.46475e-05,9.46475e-05
2,1715.75,1.00835,2.37099,1.44066,0.84317,0.9227,0.90447,0.63709,0.88957,2.31125,1.46823,0.0001881,0.0001881,0.0001881
3,2568.96,0.98116,1.88935,1.42504,0.79266,0.82323,0.85003,0.57198,0.89471,2.26761,1.4824,0.000279665,0.000279665,0.000279665
4,3417.82,0.97252,1.67922,1.42266,0.90082,0.84837,0.93676,0.73179,0.85096,2.18479,1.40967,0.000277506,0.000277506,0.000277506
5,4271.8,0.93627,1.55313,1.37028,0.96504,0.8823,0.96608,0.73745,0.78284,1.58735,1.34368,0.000274674,0.000274674,0.000274674
6,5135.61,0.92213,1.43753,1.37064,0.94813,0.82461,0.95865,0.72504,0.82537,1.99845,1.37687,0.000271843,0.000271843,0.000271843
7,5988.14,0.90174,1.34345,1.32838,0.93711,0.91647,0.97134,0.74032,0.76244,1.45172,1.32035,0.000269012,0.000269012,0.000269012
8,6844.79,0.87018,1.27028,1.30668,0.91073,0.86361,0.9689,0.75872,0.80064,1.50632,1.34835,0.00026618,0.00026618,0.00026618
9,7699.19,0.86159,1.19581,1.29864,0.89766,0.94144,0.98147,0.77267,0.74444,1.256,1.29006,0.000263349,0.000263349,0.000263349
10,8551.41,0.86571,1.17567,1.30524,0.87734,0.85356,0.94165,0.73926,0.77658,1.7634,1.31693,0.000260517,0.000260517,0.000260517
11,9407.18,0.84499,1.0754,1.27856,0.97579,0.90693,0.98313,0.76681,0.74596,1.17654,1.28841,0.000257686,0.000257686,0.000257686
12,10259.9,0.83936,1.04699,1.27462,0.97066,0.90735,0.98032,0.77722,0.72836,1.07006,1.25916,0.000254855,0.000254855,0.000254855
13,11112.5,0.83035,1.02098,1.26642,0.95338,0.9586,0.98875,0.79095,0.73661,1.04218,1.26799,0.000252023,0.000252023,0.000252023
14,11961.8,0.82096,0.98161,1.25377,0.90669,0.95495,0.98101,0.78655,0.72744,1.16417,1.25172,0.000249192,0.000249192,0.000249192
15,12812.2,0.82748,0.98548,1.25403,0.95609,0.95946,0.98859,0.79258,0.75442,1.02758,1.28918,0.00024636,0.00024636,0.00024636
16,13668.2,0.79674,0.93574,1.23708,0.98384,0.93753,0.98626,0.81541,0.68055,0.87181,1.19526,0.000243529,0.000243529,0.000243529
17,14523.3,0.82161,0.90773,1.23602,0.98366,0.97297,0.9927,0.77479,0.71885,0.86355,1.25799,0.000240698,0.000240698,0.000240698
18,15385,0.7721,0.88228,1.21097,0.98411,0.95684,0.99061,0.79065,0.67007,0.83505,1.21215,0.000237866,0.000237866,0.000237866
19,16240,0.7666,0.84515,1.21878,0.98161,0.97072,0.99295,0.80058,0.69737,0.78333,1.2277,0.000235035,0.000235035,0.000235035
20,17095,0.76515,0.83264,1.19771,0.96264,0.96847,0.9907,0.81288,0.67713,0.86748,1.19128,0.000232203,0.000232203,0.000232203
21,18038.8,0.76958,0.81984,1.20524,0.98295,0.98093,0.99386,0.82231,0.63891,0.74686,1.18164,0.000229372,0.000229372,0.000229372
22,19029.2,0.76635,0.78758,1.20324,0.96214,0.96622,0.99207,0.8215,0.65485,0.75635,1.18915,0.000226541,0.000226541,0.000226541
23,19985.8,0.75462,0.76046,1.19959,0.97133,0.94053,0.99046,0.82129,0.63267,0.72704,1.15862,0.000223709,0.000223709,0.000223709
24,20890.2,0.74875,0.76094,1.18971,0.97565,0.9237,0.98259,0.83645,0.61785,0.68642,1.14363,0.000220878,0.000220878,0.000220878
25,21748.8,0.73666,0.73536,1.18174,0.96476,0.96811,0.99007,0.83738,0.61027,0.65227,1.13331,0.000218046,0.000218046,0.000218046
26,22610.3,0.74607,0.72845,1.17994,0.96493,0.98649,0.99281,0.83616,0.5943,0.62439,1.12301,0.000215215,0.000215215,0.000215215
