epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,888.203,0.99371,2.15269,1.37796,0.50839,0.68775,0.55313,0.37169,1.04507,2.41071,1.63726,0.000413669,0.000413669,0.000413669
2,1931.65,1.07314,1.67865,1.43628,0.46395,0.6902,0.54335,0.35182,1.0925,2.68546,1.68502,0.000813895,0.000813895,0.000813895
3,2877.87,1.08951,1.54653,1.44553,0.61831,0.59929,0.63893,0.41178,1.19973,2.09567,1.76102,0.00119762,0.00119762,0.00119762
4,3835.59,1.10925,1.45844,1.45291,0.57634,0.64067,0.54701,0.35429,1.20294,2.00066,1.78646,0.00117575,0.00117575,0.00117575
5,4756.98,1.07867,1.30909,1.40913,0.63257,0.67914,0.73373,0.4761,1.08473,2.0387,1.66943,0.001151,0.001151,0.001151
6,5644.3,1.06371,1.23384,1.40412,0.65716,0.7186,0.68886,0.48835,1.02313,1.5042,1.55404,0.00112625,0.00112625,0.00112625
7,6569.34,1.02908,1.19909,1.38084,0.70805,0.77316,0.82292,0.58335,1.01734,1.20949,1.59587,0.0011015,0.0011015,0.0011015
8,7505.25,1.02249,1.19833,1.3873,0.6405,0.67665,0.73888,0.5427,0.95239,1.34702,1.48569,0.00107675,0.00107675,0.00107675
9,8369.91,1.00573,1.07317,1.3597,0.79253,0.77968,0.83088,0.56526,1.07613,1.1706,1.59615,0.001052,0.001052,0.001052
10,9239.13,0.98177,1.06377,1.35955,0.81645,0.7754,0.82819,0.60596,0.96008,1.02754,1.50254,0.00102725,0.00102725,0.00102725
11,10134.6,0.97728,1.01062,1.33494,0.82012,0.76649,0.83927,0.59423,1.00842,1.02762,1.56055,0.0010025,0.0010025,0.0010025
12,11002.7,0.96987,0.99377,1.35479,0.7808,0.73262,0.79658,0.59392,0.97001,1.03043,1.51558,0.00097775,0.00097775,0.00097775
13,11901.9,0.9596,0.96422,1.33257,0.73567,0.77032,0.81939,0.56066,1.10418,1.05488,1.6348,0.000953,0.000953,0.000953
14,12830.7,0.94308,0.92377,1.32005,0.87974,0.74726,0.85995,0.66761,0.90711,0.93877,1.42316,0.00092825,0.00092825,0.00092825
15,13739.3,0.94773,0.92982,1.33618,0.77199,0.75258,0.82838,0.61713,0.94243,1.04762,1.43598,0.0009035,0.0009035,0.0009035
16,14638.8,0.97275,0.92119,1.32923,0.90721,0.74507,0.88171,0.66398,0.88287,0.85898,1.42103,0.00087875,0.00087875,0.00087875
17,15505.6,0.91171,0.88548,1.29361,0.7829,0.77889,0.84865,0.64817,0.91344,0.90735,1.43361,0.000854,0.000854,0.000854
18,16364.8,0.91636,0.81909,1.2999,0.82783,0.8222,0.89482,0.69071,0.90827,0.80866,1.42588,0.00082925,0.00082925,0.00082925
19,17221.9,0.90646,0.81695,1.28189,0.81638,0.80936,0.88609,0.6954,0.82601,0.80673,1.37032,0.0008045,0.0008045,0.0008045
20,18088.4,0.87201,0.81782,1.27387,0.86395,0.76997,0.87551,0.6802,0.89056,0.80727,1.39797,0.00077975,0.00077975,0.00077975
