epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1222.12,0.99046,2.22251,1.3699,0.53032,0.62282,0.53986,0.36462,1.02517,2.67504,1.56464,0.000410354,0.000410354,0.000410354
2,2097.11,1.03501,1.61481,1.41119,0.44757,0.55829,0.48834,0.25,1.54572,2.70516,2.59296,0.000818833,0.000818833,0.000818833
3,2958,1.08054,1.47714,1.42355,0.53119,0.42505,0.43483,0.1955,1.73614,3.18073,2.33874,0.00121906,0.00121906,0.00121906
4,3810.43,1.09897,1.4182,1.43277,0.46266,0.51408,0.45872,0.29698,1.27357,2.57601,1.83233,0.00121287,0.00121287,0.00121287
5,4631.88,1.08303,1.29763,1.41757,0.48638,0.45183,0.44409,0.22819,1.48044,2.63692,1.98356,0.0012005,0.0012005,0.0012005
6,5459.49,1.03274,1.19525,1.38158,0.70929,0.59872,0.72621,0.49908,1.11328,1.5789,1.62554,0.00118812,0.00118812,0.00118812
7,6283.99,1.04559,1.12225,1.38201,0.65525,0.68024,0.70933,0.47657,1.10949,1.94904,1.64672,0.00117575,0.00117575,0.00117575
8,7098.4,1.02109,1.12189,1.37193,0.70687,0.69982,0.72536,0.4707,1.15567,1.45836,1.6789,0.00116337,0.00116337,0.00116337
9,7926.35,1.0278,1.06129,1.36013,0.79079,0.74718,0.80699,0.55038,1.10196,1.25148,1.64021,0.001151,0.001151,0.001151
10,8754.89,0.9818,0.95733,1.33327,0.78036,0.7341,0.81044,0.59596,1.03116,1.11006,1.51349,0.00113863,0.00113863,0.00113863
11,9578.48,0.97004,0.95309,1.31876,0.74229,0.76244,0.8066,0.58768,1.0656,1.12468,1.5522,0.00112625,0.00112625,0.00112625
12,10392.5,0.95711,0.94677,1.3109,0.7924,0.77495,0.84753,0.61728,1.03415,1.01357,1.49126,0.00111388,0.00111388,0.00111388
13,11210.6,0.9384,0.93731,1.3075,0.68191,0.74186,0.79891,0.59476,0.97114,1.21298,1.45496,0.0011015,0.0011015,0.0011015
14,12032.4,0.93279,0.86787,1.31282,0.81614,0.75886,0.81589,0.55773,1.12221,1.05717,1.61008,0.00108913,0.00108913,0.00108913
15,12849.5,0.94752,0.92025,1.31513,0.80518,0.7537,0.80159,0.59919,0.89609,0.96727,1.39277,0.00107675,0.00107675,0.00107675
16,13672.4,0.94794,0.87479,1.31531,0.853,0.7774,0.86177,0.65607,0.95396,0.90187,1.42257,0.00106437,0.00106437,0.00106437
17,14495.4,0.95408,0.85677,1.31335,0.8297,0.63467,0.75366,0.56118,0.99889,1.24521,1.44968,0.001052,0.001052,0.001052
18,15326.2,0.92145,0.83566,1.27955,0.82073,0.74082,0.84805,0.6456,0.9207,0.9414,1.39618,0.00103962,0.00103962,0.00103962
19,16149.9,0.89615,0.77897,1.27808,0.80989,0.78075,0.84132,0.64718,0.89358,0.90688,1.36597,0.00102725,0.00102725,0.00102725
20,16968.9,0.91308,0.7917,1.29369,0.75438,0.69637,0.77522,0.59798,0.92888,1.12213,1.38253,0.00101488,0.00101488,0.00101488
21,17787.7,0.88907,0.79335,1.26651,0.84359,0.76764,0.88333,0.65023,0.97124,0.81362,1.45324,0.0010025,0.0010025,0.0010025
22,18618,0.86323,0.75051,1.25224,0.81808,0.78757,0.86516,0.65104,0.93841,0.91954,1.41517,0.000990125,0.000990125,0.000990125
23,19438.7,0.86438,0.73396,1.24721,0.84142,0.81714,0.88973,0.67616,0.92634,0.86175,1.42121,0.00097775,0.00097775,0.00097775
24,20265.6,0.86216,0.71324,1.25514,0.75306,0.82805,0.88576,0.66285,0.92999,0.90144,1.40416,0.000965375,0.000965375,0.000965375
25,21084.6,0.85393,0.70349,1.23707,0.86606,0.85099,0.91155,0.6884,0.89502,0.73024,1.35519,0.000953,0.000953,0.000953
26,21917.7,0.83852,0.69478,1.2351,0.80445,0.84053,0.87487,0.69936,0.86749,0.82951,1.34206,0.000940625,0.000940625,0.000940625
27,22751.4,0.83949,0.69007,1.24048,0.85891,0.81602,0.91889,0.71151,0.89104,0.73239,1.33213,0.00092825,0.00092825,0.00092825
28,23579.7,0.85896,0.71938,1.23855,0.86508,0.83266,0.88746,0.70353,0.85831,0.75244,1.32404,0.000915875,0.000915875,0.000915875
29,24401.3,0.82915,0.68573,1.23111,0.85326,0.75485,0.82831,0.6333,0.86763,0.92159,1.35165,0.0009035,0.0009035,0.0009035
30,25219.1,0.8391,0.69062,1.22282,0.84119,0.80984,0.88824,0.67698,0.88076,0.76028,1.36389,0.000891125,0.000891125,0.000891125
31,26049.4,0.81661,0.6539,1.21521,0.81709,0.81355,0.8571,0.65974,0.88816,0.75445,1.36711,0.00087875,0.00087875,0.00087875
32,26895.6,0.80869,0.65538,1.21792,0.90234,0.76554,0.88564,0.70854,0.80112,0.74612,1.27544,0.000866375,0.000866375,0.000866375
33,27728.9,0.81447,0.65696,1.22314,0.83521,0.83743,0.8865,0.71435,0.82343,0.72838,1.29896,0.000854,0.000854,0.000854
34,28570.1,0.82844,0.64979,1.22406,0.81373,0.77281,0.84905,0.65206,0.8684,0.8691,1.334,0.000841625,0.000841625,0.000841625
35,29415.4,0.81247,0.64914,1.22198,0.8303,0.82881,0.90003,0.72286,0.79686,0.70758,1.28446,0.00082925,0.00082925,0.00082925
36,30262.5,0.7897,0.62918,1.20093,0.87503,0.82959,0.91355,0.73439,0.80645,0.63307,1.27989,0.000816875,0.000816875,0.000816875
37,31099.6,0.81071,0.64503,1.20747,0.80186,0.87863,0.885,0.6912,0.88228,0.77414,1.32513,0.0008045,0.0008045,0.0008045
38,31929.4,0.82364,0.61874,1.21017,0.84408,0.85894,0.90131,0.7113,0.85065,0.7028,1.29661,0.000792125,0.000792125,0.000792125
39,32745.8,0.78594,0.60026,1.19879,0.89295,0.82764,0.92145,0.73922,0.77577,0.64681,1.25444,0.00077975,0.00077975,0.00077975
40,33605.5,0.76345,0.59608,1.17917,0.81662,0.79144,0.89074,0.72465,0.78887,0.8011,1.27053,0.000767375,0.000767375,0.000767375
41,34455.4,0.75401,0.5716,1.17086,0.85123,0.88167,0.91069,0.71914,0.79389,0.62099,1.267,0.000755,0.000755,0.000755
42,35297,0.79648,0.58652,1.18745,0.83363,0.84314,0.89233,0.7024,0.85875,0.74053,1.30984,0.000742625,0.000742625,0.000742625
43,36135.1,0.76753,0.57288,1.18121,0.86425,0.85726,0.90068,0.71574,0.81136,0.64576,1.28397,0.00073025,0.00073025,0.00073025
44,36985.8,0.76128,0.56936,1.17133,0.89495,0.84594,0.90466,0.73217,0.78841,0.63561,1.27097,0.000717875,0.000717875,0.000717875
45,37834.4,0.76364,0.56648,1.16948,0.81932,0.85997,0.90093,0.72763,0.79233,0.71137,1.26345,0.0007055,0.0007055,0.0007055
46,38668.9,0.75474,0.55831,1.18495,0.87014,0.88125,0.91572,0.73355,0.81417,0.59844,1.27466,0.000693125,0.000693125,0.000693125
47,39512.6,0.75851,0.56446,1.18317,0.87613,0.8558,0.92678,0.73484,0.79627,0.594,1.27311,0.00068075,0.00068075,0.00068075
48,40375.8,0.74406,0.57134,1.17001,0.8399,0.78091,0.87284,0.69718,0.81082,0.89858,1.28744,0.000668375,0.000668375,0.000668375
49,41228.5,0.78162,0.56526,1.19055,0.87078,0.83864,0.90776,0.72171,0.80674,0.63173,1.28178,0.000656,0.000656,0.000656
50,42073,0.73665,0.53968,1.16857,0.85729,0.88255,0.92461,0.74093,0.78956,0.58595,1.25938,0.000643625,0.000643625,0.000643625
51,42921.3,0.72524,0.53104,1.14463,0.86108,0.89407,0.92315,0.74767,0.80916,0.55301,1.26618,0.00063125,0.00063125,0.00063125
52,43759.9,0.73028,0.52649,1.15115,0.86168,0.88614,0.91211,0.73776,0.76846,0.61418,1.2491,0.000618875,0.000618875,0.000618875
53,44607.9,0.7179,0.52131,1.14222,0.82545,0.88104,0.93158,0.75341,0.81367,0.64281,1.28548,0.0006065,0.0006065,0.0006065
54,45431.2,0.71306,0.5319,1.1462,0.89206,0.8382,0.90394,0.73162,0.77869,0.61778,1.24029,0.000594125,0.000594125,0.000594125
55,46252,0.71685,0.52332,1.15317,0.89255,0.84985,0.92923,0.75685,0.81627,0.57477,1.30385,0.00058175,0.00058175,0.00058175
56,47075.8,0.69172,0.5056,1.1251,0.91428,0.86355,0.9407,0.75351,0.7954,0.55371,1.26822,0.000569375,0.000569375,0.000569375
57,47903.4,0.70357,0.48712,1.13727,0.86831,0.83342,0.91416,0.73667,0.79959,0.58341,1.24405,0.000557,0.000557,0.000557
58,48730,0.70646,0.5294,1.14465,0.83927,0.85259,0.8923,0.72319,0.78395,0.63463,1.25226,0.000544625,0.000544625,0.000544625
59,49553.7,0.70341,0.51646,1.1488,0.93081,0.87364,0.94041,0.75733,0.78098,0.542,1.25765,0.00053225,0.00053225,0.00053225
60,50378,0.70762,0.52191,1.15753,0.91907,0.84867,0.93716,0.75145,0.78546,0.5447,1.25182,0.000519875,0.000519875,0.000519875
61,51196.2,0.67306,0.47765,1.12601,0.89533,0.89681,0.94517,0.76461,0.78353,0.51453,1.26181,0.0005075,0.0005075,0.0005075
62,52024.9,0.69351,0.47836,1.13402,0.90634,0.84135,0.91111,0.74446,0.78313,0.58298,1.24173,0.000495125,0.000495125,0.000495125
63,52844.5,0.68461,0.47349,1.12481,0.87517,0.86507,0.92756,0.77092,0.75933,0.53391,1.22709,0.00048275,0.00048275,0.00048275
64,53665.6,0.68155,0.47191,1.13064,0.88459,0.83316,0.92202,0.76149,0.7501,0.57876,1.22538,0.000470375,0.000470375,0.000470375
65,54484.2,0.6617,0.47705,1.11352,0.88465,0.89734,0.92312,0.7576,0.79037,0.51574,1.2451,0.000458,0.000458,0.000458
66,55308,0.65803,0.44738,1.12127,0.88564,0.86353,0.93978,0.76075,0.7872,0.5439,1.23757,0.000445625,0.000445625,0.000445625
67,56125.8,0.64971,0.45832,1.10301,0.89137,0.87819,0.92646,0.76814,0.76993,0.5066,1.23118,0.00043325,0.00043325,0.00043325
68,56962.1,0.66105,0.45081,1.11248,0.91016,0.83696,0.92248,0.75701,0.79831,0.57614,1.25627,0.000420875,0.000420875,0.000420875
69,57784,0.6567,0.45176,1.10949,0.89747,0.86631,0.94009,0.77015,0.78753,0.53065,1.26532,0.0004085,0.0004085,0.0004085
70,58623,0.65358,0.44666,1.09819,0.88312,0.8142,0.90304,0.73962,0.81154,0.6178,1.27943,0.000396125,0.000396125,0.000396125
71,59466.7,0.65292,0.44531,1.10726,0.88606,0.87223,0.93671,0.75984,0.80241,0.51903,1.2625,0.00038375,0.00038375,0.00038375
72,60294,0.63976,0.44438,1.10332,0.90462,0.88881,0.93487,0.76671,0.77526,0.5188,1.23741,0.000371375,0.000371375,0.000371375
73,61120.2,0.64024,0.44132,1.09859,0.87194,0.90006,0.93319,0.75312,0.79841,0.53466,1.2623,0.000359,0.000359,0.000359
74,61950.7,0.63259,0.42574,1.09692,0.90288,0.9016,0.93707,0.75937,0.81929,0.52044,1.29383,0.000346625,0.000346625,0.000346625
75,62774.9,0.61889,0.43549,1.08454,0.92411,0.85727,0.93035,0.76777,0.76821,0.5262,1.23784,0.00033425,0.00033425,0.00033425
76,63603.2,0.63089,0.4248,1.09453,0.94603,0.82567,0.9383,0.76678,0.79873,0.53167,1.24659,0.000321875,0.000321875,0.000321875
77,64419.7,0.61692,0.41627,1.09155,0.85109,0.8867,0.94076,0.76213,0.78788,0.53802,1.25035,0.0003095,0.0003095,0.0003095
78,65241,0.61522,0.41728,1.08175,0.91311,0.88342,0.94352,0.76896,0.78474,0.50912,1.25858,0.000297125,0.000297125,0.000297125
79,66068.3,0.60282,0.41301,1.08122,0.8845,0.87801,0.93367,0.77221,0.78489,0.50662,1.25177,0.00028475,0.00028475,0.00028475
80,66900.5,0.61689,0.43681,1.09929,0.90089,0.89375,0.94444,0.78034,0.76232,0.48405,1.2305,0.000272375,0.000272375,0.000272375
81,67719.3,0.60235,0.4049,1.07725,0.86852,0.90748,0.94132,0.78148,0.74809,0.48619,1.22825,0.00026,0.00026,0.00026
